  PID       Vss      Rss      Pss      Uss     Swap    PSwap    USwap    ZSwap  cmdline
  530    47920K    1792K     526K     480K     796K     790K     784K     227K  /system/bin/vold
  594     9256K    1784K     523K     492K      72K      72K      72K      20K  /vendor/bin/hw/android.hardware.cas@1.0-service
  618     5580K    1420K     518K     504K       4K       4K       4K       1K  /vendor/bin/tftp_server
  668    10088K    1536K     509K     488K       0K       0K       0K       0K  /system/vendor/bin/pm-proxy
  616    11400K    1420K     504K     488K       0K       0K       0K       0K  /vendor/bin/rmt_storage
  611     9572K    1616K     495K     476K     188K     188K     188K      54K  /vendor/bin/hw/vendor.qti.hardware.qteeconnector@1.0-service
  598     7432K    1644K     483K     420K     104K     104K     104K      29K  /vendor/bin/hw/android.hardware.health@1.0-service
  620     8020K    1780K     472K     232K       4K       4K       4K       1K  /vendor/bin/qseecomd
  658     4592K    1136K     459K     452K       0K       0K       0K       0K  /system/bin/sh
  687     9284K    1328K     451K     440K     108K     106K     104K      30K  /system/bin/pandoraservice
  635     8592K    1312K     446K     436K       0K       0K       0K       0K  /vendor/bin/mmid
  973     4772K    1148K     443K     436K       0K       0K       0K       0K  /system/bin/tombstoned
  529     8508K    1616K     437K     408K     204K     204K     204K      58K  /vendor/bin/hw/android.hardware.keymaster@3.0-service-qti
  592     9648K    1588K     409K     388K     308K     306K     304K      88K  /vendor/bin/hw/android.hardware.bluetooth@1.0-service-qti
  528     8372K    1564K     407K     368K     220K     218K     216K      62K  /vendor/bin/hw/android.hardware.gatekeeper@1.0-service-qti
  596    12464K    1740K     390K     344K     288K     286K     284K      82K  /vendor/bin/hw/android.hardware.graphics.allocator@2.0-service
  595     8604K    1556K     348K     316K     228K     226K     224K      65K  /vendor/bin/hw/android.hardware.configstore@1.0-service
  601     9528K    1536K     343K     296K     316K     316K     316K      91K  /vendor/bin/hw/android.hardware.power@1.0-service
  521     5560K    1200K     327K     316K     196K     194K     192K      55K  /vendor/bin/vndservicemanager
  971     5000K    1000K     327K     320K     180K     180K     180K      51K  /system/bin/ip6tables-restore
  882     8300K    1316K     322K     304K     436K     434K     432K     125K  /system/vendor/bin/wcnss_service
  963     6740K    1232K     320K     288K     188K     186K     184K      53K  /system/vendor/bin/loc_launcher
  970     4992K     948K     275K     268K     224K     220K     216K      63K  /system/bin/iptables-restore
                           ------   ------   ------   ------   ------   ------  ------
                          380590K  318704K  250580K   94694K   87328K   27284K  TOTAL

ZRAM: 29068K physical used for 100884K in swap (991224K total swap)
 RAM: 871944K total, 25128K free, 908K buffers, 186708K cached, 1416K shmem, 194824K slab
